image_path,has_road,pothole_count,pothole_severity,pothole_confidence,garbage_count,garbage_severity,garbage_confidence,overall_score,overall_rating
../sv_images/mumbai/loc_4041_point_0_img_0_h267_p21.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_23_point_0_img_0_h41_p21.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_5487_point_0_img_0_h282_p7.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_5105_point_0_img_0_h350_p0.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4179_point_0_img_0_h336_p24.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_4500_point_0_img_0_h52_p22.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_401_point_0_img_0_h104_p8.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4500_point_0_img_0_h137_p-15.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_1684_point_0_img_0_h241_p-24.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_2302_point_0_img_0_h243_p14.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4572_point_0_img_0_h172_p27.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_915_point_0_img_0_h265_p17.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_296_point_0_img_0_h228_p4.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4362_point_0_img_0_h196_p4.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_4192_point_0_img_0_h72_p-2.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_3494_point_0_img_0_h69_p-4.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_881_point_0_img_0_h128_p9.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_5308_point_0_img_0_h233_p13.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_439_point_0_img_0_h44_p20.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_3167_point_0_img_0_h110_p5.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_5457_point_0_img_0_h133_p-28.jpg,False,0,0,0,0,0,0.0,,Not applicable - No road detected
../sv_images/mumbai/loc_2669_point_0_img_0_h254_p-29.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
../sv_images/mumbai/loc_351_point_0_img_0_h142_p-5.jpg,True,0,0,0,0,0,0.0,10.0,Excellent
